country,country_name,archetype_label,archetype_type,is_core_archetype,is_secondary_archetype,sustainability_capacity_shock_response_signature,sustainability_capacity_adaptation_transition_signature,innovation_capacity_shock_response_signature,innovation_capacity_adaptation_transition_signature,social_stability_shock_response_signature,social_stability_adaptation_transition_signature,fiscal_flexibility_shock_response_signature,fiscal_flexibility_adaptation_transition_signature,security_reprioritization_shock_response_signature,security_reprioritization_adaptation_transition_signature,adaptive_transformation_shock_response_signature,adaptive_transformation_adaptation_transition_signature,sustainability_capacity_relative_adaptation_shift,innovation_capacity_relative_adaptation_shift,social_stability_relative_adaptation_shift,fiscal_flexibility_relative_adaptation_shift,security_reprioritization_relative_adaptation_shift,adaptive_transformation_relative_adaptation_shift,sustainability_capacity_adaptation_shift_flag,innovation_capacity_adaptation_shift_flag,social_stability_adaptation_shift_flag,fiscal_flexibility_adaptation_shift_flag,security_reprioritization_adaptation_shift_flag,adaptive_transformation_adaptation_shift_flag
AT,Austria,Other EU country,other,False,False,0.04238165327719097,0.3787018053098611,-0.26480786065325607,-0.18515069020744612,-0.05521161457798654,0.1606156486862688,0.6339341116901205,-0.5247082071061304,-0.507510180606706,-0.43622361761463374,-0.35055930267450586,0.024925873144817638,0.3363201520326701,0.07965717044580994,0.21582726326425533,-1.158642318796251,0.07128656299207231,0.3754851758193235,transition acceleration,limited / stable shift,limited / stable shift,transition weakening,limited / stable shift,transition acceleration
BE,Belgium,Other EU country,other,False,False,-0.11037060963055256,-0.0428507025555801,0.8405400352916566,0.9418585036733417,0.10942309873752484,-0.37353770040984746,0.31697241584132874,-0.3180129592476539,-0.30858240651057817,-0.09205290853879802,0.33120263044326664,0.19560762736137588,0.06751990707497246,0.10131846838168512,-0.48296079914737233,-0.6349853750889827,0.21652949797178014,-0.13559500308189076,limited / stable shift,limited / stable shift,transition weakening,transition weakening,limited / stable shift,limited / stable shift
BG,Bulgaria,Other EU country,other,False,False,-0.4563464499360478,-0.20581396715935735,-0.4398130187950293,-0.2922781482977106,-0.13879991252900156,0.7286464623527815,0.21021679981356667,-0.18544294477318862,0.3150681639918351,-0.21080753573743805,-0.18886569444209633,-0.18416490069553434,0.25053248277669043,0.14753487049731873,0.8674463748817831,-0.3956597445867553,-0.5258756997292732,0.0047007937465619876,transition acceleration,limited / stable shift,transition acceleration,transition weakening,transition weakening,limited / stable shift
CY,Cyprus,Other EU country,other,False,False,0.12396311461297313,0.4040543813761731,0.3100177952643761,0.08428368403460745,0.9379267499667061,0.33610195521269504,0.25433989856371686,0.9085843678036853,-0.688200900626957,-0.43622361761463363,0.583013872600651,0.41411896875337617,0.28009126676319995,-0.22573411122976866,-0.6018247947540111,0.6542444692399685,0.2519772830123234,-0.1688949038472748,transition acceleration,limited / stable shift,transition weakening,transition acceleration,transition acceleration,limited / stable shift
CZ,Czechia,Other EU country,other,False,False,-0.1408825956135701,-0.19436838670223633,-0.7372014549007886,-0.6783661519796922,0.26470440719928046,-0.005945669214550657,-0.11423512564631136,0.10158143508713297,-0.2896421974957555,-0.49780185591775067,-0.7299316626974958,-0.44989595225127793,-0.05348579108866622,0.0588353029210964,-0.2706500764138311,0.21581656073344432,-0.2081596584219952,0.28003571044621783,limited / stable shift,limited / stable shift,transition weakening,limited / stable shift,limited / stable shift,transition acceleration
DE,Germany,Other EU country,other,False,False,0.13921766893038007,0.10908893847428772,-0.047000623558960404,0.08969246597478449,0.17009582439518406,-0.33642450051140427,0.4318883323081489,-0.23716056444195657,-0.281623988009674,-0.34655211345739706,-0.014162382218154773,-0.22968557672491127,-0.03012873045609235,0.1366930895337449,-0.5065203249065884,-0.6690488967501055,-0.06492812544772308,-0.2155231945067565,limited / stable shift,limited / stable shift,transition weakening,transition weakening,limited / stable shift,limited / stable shift
DK,Denmark,Other EU country,other,False,False,0.7171675302042586,0.8022761899073587,-0.6318395872026528,-0.6513784179866529,-0.9113802090803421,-0.9126422056185886,0.48643913800553795,0.019270038990777172,-0.05253051161820921,0.04706865611135291,0.19450026729789877,-0.27555291728545706,0.08510865970310011,-0.019538830784000094,-0.0012619965382464349,-0.4671690990147608,0.09959916772956212,-0.4700531845833558,limited / stable shift,limited / stable shift,limited / stable shift,transition weakening,limited / stable shift,transition weakening
EE,Estonia,Other EU country,other,False,False,1.5272282592083064,0.7512721516491263,1.0785372346755682,1.044656425096678,-0.1624008013952332,-0.04471569269757823,-0.8207277742189285,0.3024985009893579,1.2429660594414575,1.3336025623088765,0.7099369623954247,0.4269635627025612,-0.7759561075591801,-0.03388080957889006,0.11768510869765496,1.1232262752082864,0.09063650286741898,-0.2829733996928635,transition weakening,limited / stable shift,limited / stable shift,transition acceleration,limited / stable shift,transition weakening
EL,Greece,Other EU country,other,False,False,0.1417052617537341,-0.3860170262463515,0.16769838083814836,0.153662019959321,0.6251458363748748,0.10460158786970708,-0.893023891062084,0.9271051380042332,0.37399825585314306,-0.1177240393598894,0.12604190720681901,1.0556261944244754,-0.5277222880000856,-0.01403636087882737,-0.5205442485051677,1.8201290290663172,-0.49172229521303246,0.9295842872176563,transition weakening,limited / stable shift,transition weakening,transition acceleration,transition weakening,transition acceleration
ES,Spain,Other EU country,other,False,False,0.05354738849405713,0.28692618321128316,0.0598067965031156,0.14647525966619024,1.0962520703279097,-0.20873527019058977,-0.22627271943902943,-0.14451456085739783,-0.6237617252835792,-0.7115671859333258,-0.33908854601539984,1.0399209773732252,0.23337879471722603,0.08666846316307464,-1.3049873405184995,0.0817581585816316,-0.08780546064974659,1.379009523388625,limited / stable shift,limited / stable shift,transition weakening,limited / stable shift,limited / stable shift,transition acceleration
