country,country_name,archetype_label,archetype_type,is_core_archetype,is_secondary_archetype,kpi,pathway_role,interpretation,shock_metric_logic,recovery_metric_logic,shock_metric,recovery_metric,pre_avg,covid_avg,transition_avg,end_2025,shock_metric_zscore,recovery_metric_zscore
AT,Austria,Other EU country,other,False,False,gdp_growth,shock_exposure,macro recovery capacity,covid_min_minus_pre_avg,end_2025_minus_covid_trough,-8.1,6.8999999999999995,1.8,-0.6999999999999997,1.0999999999999999,0.6,-0.3331407981077903,0.2299612046580343
AT,Austria,Other EU country,other,False,False,unemployment,shock_exposure,labor market recovery,covid_max_minus_pre_avg,end_2025_minus_covid_peak,0.4500000000000002,-0.5,5.75,6.1,5.199999999999999,5.7,1.0726908298993882,0.3677233928171899
AT,Austria,Other EU country,other,False,False,inflation,shock_exposure,inflation stabilization,transition_max_minus_pre_avg,end_2025_minus_transition_peak,7.083333333333333,-5.0,1.5166666666666666,2.0999999999999996,5.7,3.6,-0.7933377304015767,0.9083199510806063
AT,Austria,Other EU country,other,False,False,debt,shock_exposure,fiscal burden persistence,period_max_minus_pre_avg,end_2025_minus_peak,5.783333333333331,-4.099999999999994,79.81666666666666,82.80000000000001,79.35,81.5,-0.8798506501547723,0.5604716039598857
AT,Austria,Other EU country,other,False,False,health_spending,public_response,health-system mobilization,covid_avg_minus_pre_avg,transition_avg_minus_covid_avg,1.3499999999999979,-0.29999999999999893,8.3,9.649999999999999,9.35,9.5,0.347586772313368,0.3689501765379273
AT,Austria,Other EU country,other,False,False,social_protection_spending,public_response,social buffering response,covid_avg_minus_pre_avg,transition_avg_minus_covid_avg,1.5166666666666693,-0.27500000000000213,20.833333333333332,22.35,22.075,22.8,0.42021466606172847,0.5343631758536148
AT,Austria,Other EU country,other,False,False,defense_spending,public_response,security reprioritization,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,0.04999999999999993,0.09999999999999998,0.6,0.6,0.6499999999999999,0.7,-0.7407215893126461,-0.720545895311878
AT,Austria,Other EU country,other,False,False,fuel_energy_spending,public_response,energy-security adaptation,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,0.32499999999999996,0.15000000000000002,0.25,0.15000000000000002,0.575,0.4,-0.1576930675477959,-0.009740201068767527
AT,Austria,Other EU country,other,False,False,renewables,structural_adaptation,sustainability acceleration,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,6.874416666666669,9.43566666666667,33.51533333333333,35.594,40.38975,42.951,0.15512825641245154,0.6121728321924551
AT,Austria,Other EU country,other,False,False,emissions,structural_adaptation,decarbonization pathway,transition_min_minus_pre_avg,end_2025_minus_transition_trough,-1.8500000000000005,0.0,9.15,8.55,7.55,7.3,0.06556549762596549,-0.44610890810959686
AT,Austria,Other EU country,other,False,False,rnd,structural_adaptation,innovation persistence,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,0.12250000000000005,0.1549999999999998,3.105,3.235,3.2275,3.26,-0.24364633249260456,-0.1042984052014008
AT,Austria,Other EU country,other,False,False,ict_specialists,structural_adaptation,digital transition,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,1.083333333333333,1.2333333333333334,4.166666666666667,4.5,5.25,5.4,-0.4433343172330972,-0.39490402247661655
BE,Belgium,Other EU country,other,False,False,gdp_growth,shock_exposure,macro recovery capacity,covid_min_minus_pre_avg,end_2025_minus_covid_trough,-6.516666666666667,5.8,1.7166666666666668,0.75,1.9249999999999998,1.0,0.2619191929412923,-0.14325452093451338
BE,Belgium,Other EU country,other,False,False,unemployment,shock_exposure,labor market recovery,covid_max_minus_pre_avg,end_2025_minus_covid_peak,-1.0333333333333332,-0.09999999999999964,7.333333333333333,6.05,5.75,6.2,0.1899250544719123,0.5624004831321731
BE,Belgium,Other EU country,other,False,False,inflation,shock_exposure,inflation stabilization,transition_max_minus_pre_avg,end_2025_minus_transition_peak,8.850000000000001,-7.300000000000001,1.4500000000000002,1.8,4.9750000000000005,3.0,-0.2876511859897027,0.174813202548673
BE,Belgium,Other EU country,other,False,False,debt,shock_exposure,fiscal burden persistence,period_max_minus_pre_avg,end_2025_minus_peak,8.299999999999983,-3.5,103.10000000000002,110.05000000000001,104.4,107.9,-0.5126156889875955,0.5901533299623377
BE,Belgium,Other EU country,other,False,False,health_spending,public_response,health-system mobilization,covid_avg_minus_pre_avg,transition_avg_minus_covid_avg,0.8166666666666664,-0.5999999999999996,7.683333333333334,8.5,7.9,8.0,-0.5080114364580037,-0.3644231805067841
BE,Belgium,Other EU country,other,False,False,social_protection_spending,public_response,social buffering response,covid_avg_minus_pre_avg,transition_avg_minus_covid_avg,2.166666666666668,-1.3500000000000014,19.433333333333334,21.6,20.25,20.4,0.946357404900013,-0.4727726150003605
BE,Belgium,Other EU country,other,False,False,defense_spending,public_response,security reprioritization,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,0.30833333333333346,0.4833333333333335,0.8166666666666665,0.9,1.125,1.3,-0.0313577789525945,0.07848803502504416
BE,Belgium,Other EU country,other,False,False,fuel_energy_spending,public_response,energy-security adaptation,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,1.3877787807814457e-17,1.3877787807814457e-17,0.09999999999999999,0.1,0.1,0.1,-0.7244193478475537,-0.3478643238845613
BE,Belgium,Other EU country,other,False,False,renewables,structural_adaptation,sustainability acceleration,transition_avg_minus_pre_avg,end_2025_minus_pre_avg,5.397499999999999,5.439500000000001,8.8965,13.0085,14.293999999999999,14.336,-0.27986045393393955,-0.44170843747114785
BE,Belgium,Other EU country,other,False,False,emissions,structural_adaptation,decarbonization pathway,transition_min_minus_pre_avg,end_2025_minus_transition_trough,-1.9666666666666668,0.0,10.266666666666667,9.4,8.425,8.3,-0.005245239810077546,-0.44610890810959686
